type,day,txn_count,txn_value
CASH_IN,1.0,124026,21238119433.1
CASH_OUT,1.0,204397,37494515023.430016
DEBIT,1.0,4470,27922583.499999996
PAYMENT,1.0,194676,2192430026.0199943
TRANSFER,1.0,46686,31178878559.600006
CASH_IN,2.0,99707,16815829535.359991
CASH_OUT,2.0,164605,30174273583.15001
DEBIT,2.0,2510,12664019.27999999
PAYMENT,2.0,150147,1661093173.179999
TRANSFER,2.0,38269,22574782086.190006
CASH_IN,3.0,137,23705176.780000005
CASH_OUT,3.0,240,210208801.74999994
DEBIT,3.0,24,31606.650000000005
PAYMENT,3.0,480,3127637.4299999964
TRANSFER,3.0,189,210011250.01999995
CASH_IN,4.0,4848,784294262.02
CASH_OUT,4.0,6252,1266226024.289999
DEBIT,4.0,340,2031923.85
PAYMENT,4.0,14286,126117840.07000023
TRANSFER,4.0,2514,1651877310.3600001
CASH_IN,5.0,1450,242178772.2099998
CASH_OUT,5.0,1769,421612593.09000057
DEBIT,5.0,194,933730.7199999999
PAYMENT,5.0,5470,49816138.15999992
TRANSFER,5.0,906,610592604.87
CASH_IN,6.0,99972,17379844610.76002
CASH_OUT,6.0,159596,29962552928.499966
DEBIT,6.0,2663,12385027.870000003
PAYMENT,6.0,142460,2021474975.7999938
TRANSFER,6.0,36314,24033728825.410015
CASH_IN,7.0,93735,15839130158.78997
CASH_OUT,7.0,151338,27521970690.450035
DEBIT,7.0,2539,13936392.760000004
PAYMENT,7.0,138250,1621642881.2700021
TRANSFER,7.0,34721,22074097461.500027
CASH_IN,8.0,99924,16683139677.330013
CASH_OUT,8.0,159368,27933095710.360046
DEBIT,8.0,2895,14967433.620000005
PAYMENT,8.0,149776,1631345214.3200016
TRANSFER,8.0,37674,23768050464.849987
CASH_IN,9.0,89361,14255385478.590073
CASH_OUT,9.0,147654,23897607194.14003
DEBIT,9.0,2128,7610290.79
PAYMENT,9.0,144781,1438059365.1499984
TRANSFER,9.0,33995,18469103069.75001
CASH_IN,10.0,85807,14692048873.299957
CASH_OUT,10.0,139113,25039530978.480137
DEBIT,10.0,2413,11245611.270000001
PAYMENT,10.0,132895,1921698781.239997
TRANSFER,10.0,32717,23525827932.730007
CASH_IN,11.0,91109,14978952974.810034
CASH_OUT,11.0,148021,24527038700.32006
DEBIT,11.0,2049,21471848.550000004
PAYMENT,11.0,142592,1656399391.6899996
TRANSFER,11.0,34088,19144798796.23
CASH_IN,12.0,74454,11448513498.550007
CASH_OUT,12.0,121504,18001297741.460068
DEBIT,12.0,2194,13188206.319999997
PAYMENT,12.0,123788,1407104595.3200035
TRANSFER,12.0,27836,27118394432.709976
CASH_IN,13.0,95840,16810218128.560024
CASH_OUT,13.0,151884,27505796082.750027
DEBIT,13.0,2626,15772032.32
PAYMENT,13.0,141460,2501188710.6899986
TRANSFER,13.0,36773,91840093137.62993
CASH_IN,14.0,87298,15310475051.39
CASH_OUT,14.0,138626,24833679745.22017
DEBIT,14.0,2881,16096044.889999997
PAYMENT,14.0,135173,2251686120.0700054
TRANSFER,14.0,33898,57625423333.210205
CASH_IN,15.0,89636,15187645482.760038
CASH_OUT,15.0,140175,24414977154.39984
DEBIT,15.0,3271,14946773.340000007
PAYMENT,15.0,134424,1971935186.7300005
TRANSFER,15.0,33776,35882860058.83999
CASH_IN,16.0,82591,14072988949.329985
CASH_OUT,16.0,131588,22830504394.169914
DEBIT,16.0,2414,13304412.249999998
PAYMENT,16.0,127445,1724076856.0599937
TRANSFER,16.0,31556,29249666860.59
CASH_IN,17.0,93494,16180255844.050007
CASH_OUT,17.0,152162,26218755453.929943
DEBIT,17.0,2878,16362774.359999992
PAYMENT,17.0,141614,2298056690.9800034
TRANSFER,17.0,35618,29536703239.48001
CASH_IN,18.0,5065,834857572.7599994
