day,value,type
1.0,92131865625.64996,actual
2.0,71238642397.16028,actual
3.0,447084472.62999976,actual
4.0,3830547360.5899982,actual
5.0,1325133839.0499964,actual
6.0,73409986368.3403,actual
7.0,67070777584.770256,actual
8.0,70030598500.48001,actual
9.0,58067765398.420044,actual
10.0,65190352177.019936,actual
11.0,60328661711.59948,actual
12.0,57988498474.35992,actual
13.0,138673068091.94952,actual
14.0,100037360294.77933,actual
15.0,77472364656.07062,actual
16.0,67890541472.40013,actual
17.0,74250134002.8004,actual
18.0,3711531300.3500075,actual
19.0,1936895543.139988,actual
20.0,3596373218.5199885,actual
21.0,4840421321.640039,actual
22.0,9515278618.260054,actual
23.0,8194745997.949985,actual
24.0,5243509370.050009,actual
25.0,9177487327.859919,actual
26.0,2228709706.33,actual
27.0,1756268796.7600029,actual
28.0,3006718037.760007,actual
29.0,9357636452.069994,actual
30.0,1995900406.1699977,actual
31.0,448086234.83999974,actual
32.0,1274050391.1028671,forecast
33.0,593605597.3860893,forecast
34.0,0.0,forecast
35.0,0.0,forecast
36.0,0.0,forecast
37.0,0.0,forecast
38.0,0.0,forecast
