nameOrig,txn_count,total_sent
C1715283297,1,92445516.64
C2127282686,1,73823490.36
C2044643633,1,71172480.42
C1425667947,1,69886731.3
C1584456031,1,69337316.27
C811810230,1,67500761.29
C420748282,1,66761272.21
C1139847449,1,64234448.19
C300140823,1,63847992.58
C372535854,1,63294839.63
C1539737626,1,62785416.91
C915403211,1,61733761.65
C453740720,1,60965275.64
C68968235,1,60642003.0
C31593462,1,60154456.05
C1273768806,1,59579503.33
C24299338,1,58944752.64
C1423766399,1,58318373.2
C208486812,1,57787800.93
C1139460122,1,57436619.46
